Description,Trail Mile,Trip Mile,Total Days,Miles From Last
Springer Mtn,0.0,0.0,0.0,0.0
Springer Mountain Shelter,0.2,0.2,0.0,0.2
USFS 42 TH,1.0,1.0,0.1,0.8
Stover Creek Shelter,2.6,2.6,0.2,1.6
Three Forks TH,4.3,4.3,0.4,1.8
Hawk Mountain Shelter,8.1,8.1,0.7,3.8
USFS 42 (Hightower Gap) TH,8.6,8.6,0.8,0.5
Horse Gap TH,10.5,10.5,0.9,1.9
Cooper Gap (pull-off 2) TH,12.2,12.2,1.1,1.7
Cooper Gap (pull-off 1) TH,12.2,12.2,1.1,0.0
Gooch Mountain Shelter,15.7,15.7,1.4,3.5
Gooch Gap Shelter,17.1,17.1,1.5,1.5
USFS 42 (Gooch Gap) TH,17.2,17.2,1.5,0.1
Suches  GA 30572/SR 60/Woody Gap TH,21.1,21.1,1.8,3.8
Woods Hole Shelter,28.0,28.0,2.5,7.0
Blood Mountain Shelter,29.7,29.7,2.6,1.7
Reese State Memorial TH,31.8,31.7,2.8,2.1
SR 11,32.1,32.1,2.8,0.4
Walasi-yi Center Shelter,32.2,32.2,2.8,0.0
US 129 &amp; US 19 (Neels Gap) TH,32.2,32.2,2.8,-0.0
Tesnatee Gap TH,38.0,38.0,3.3,5.9
SR 348,38.9,38.9,3.4,0.9
GA 348 TH,39.0,39.0,3.4,0.1
Low Gap Shelter,43.7,43.7,3.8,4.7
Blue Mountain Shelter,51.0,51.0,4.5,7.4
Helen  GA 30545/Hiawassee  GA 30546/SR 75,53.3,53.2,4.7,2.2
USFS 283 (Indian Grave Gap) TH,55.8,55.8,5.4,2.6
USFS 79 (Tray Gap) TH,57.6,57.6,5.6,1.8
Tray Mountain Shelter,58.9,58.9,5.7,1.3
Deep Gap Shelter,66.2,66.2,6.4,7.3
Dicks Creek Gap TH,69.8,69.8,6.8,3.6
Plumorchard Gap Shelter,74.5,74.5,7.3,4.6
Blue Ridge Gap TH,75.7,75.7,7.4,1.2
Muskrat Creek Shelter,81.8,81.7,8.0,6.0
Deep Gap TH,85.7,85.7,8.4,4.0
Standing Indian Shelter,86.7,86.7,8.5,0.9
Carter Gap (old shelter),94.4,94.4,9.2,7.7
Carter Gap Shelter,94.4,94.4,9.2,0.1
Albert Mountain TH,100.7,100.7,9.8,6.2
Big Spring Gap Shelter,101.2,101.2,9.9,0.5
Rock Gap Shelter,106.6,106.6,10.4,5.4
USFS 67 (Rock Gap) TH,106.8,106.8,10.4,0.2
Wallace Gap TH,107.4,107.4,10.5,0.6
SR 1448,107.4,107.4,10.5,0.0
Winding Stair Gap TH,110.5,110.5,10.8,3.1
Franklin  NC 28734/Winding Stair Gap TH/US Hwy 64,110.6,110.6,10.8,0.1
Siler Bald Shelter,114.6,114.6,11.9,4.1
Wayah Crest TH,116.5,116.5,12.1,1.9
SR 1310,116.6,116.6,12.1,0.1
No Official Name Or Unknown TH,117.9,117.9,12.2,1.3
Wayah Bald parking area TH,120.6,120.6,12.4,2.7
Wayah Bald Shelter,121.7,121.7,12.5,1.1
Burningtown Gap TH,125.5,125.5,12.8,3.8
Cold Spring Shelter,126.7,126.7,12.9,1.2
Tellico Gap TH,130.4,130.4,13.2,3.7
SR 1365,130.4,130.4,13.2,0.0
Wesser Bald Shelter,132.7,132.7,13.4,2.3
Rufus Morgan Shelter,137.6,137.6,13.9,4.9
SR 1103,138.4,138.4,13.9,0.8
US Hwy 74,138.4,138.4,13.9,0.0
Sasafras Gap Shelter,145.4,145.4,14.9,6.9
NC 143 (Stecoah Gap) TH,152.3,152.3,15.7,6.9
SR 143,152.3,152.3,15.7,0.0
Brown Fork Gap Shelter,154.6,154.6,15.9,2.3
Yellow Creek Gap TH,160.1,160.1,16.5,5.4
County Rd 1242,160.1,160.1,16.5,0.0
Cable Gap Shelter,160.9,160.9,16.6,0.9
SR 28,166.4,166.4,17.2,5.4
Fontana Dam  NC 28733/Fontana Village Marina TH,166.4,166.4,17.2,0.0
Fontana Dam Shelter,167.3,167.3,17.8,0.9
County Rd 1245,167.4,167.4,17.8,0.1
Fontana Dam Picnic Area TH,167.5,167.5,17.8,0.1
Fontana Dam Visitors Center TH,167.8,167.8,17.8,0.4
Fontana Dam North Trailhead TH,169.0,169.0,18.0,1.1
Mollies Ridge Shelter,179.0,179.0,19.0,10.0
Russell Field Shelter,182.2,182.2,19.4,3.2
Spence Field Shelter,185.0,185.0,19.6,2.8
Derrick Knob Shelter,191.3,191.3,20.3,6.2
Silers Bald Shelter,196.8,196.8,20.9,5.6
Double Spring Gap Shelter,198.6,198.5,21.1,1.7
Clingmans Dome TH,201.5,201.5,21.4,2.9
Mount Collins Shelter,205.0,205.0,21.7,3.5
Clingman's Dome Road (Indian Gap) TH,207.4,207.4,22.0,2.5
Gatlinburg  TN 37738/US Hwy 441/SR 71,209.1,209.1,22.2,1.7
US 441 (Newfound Gap) TH,209.2,209.2,22.2,0.0
Icewater Spring Shelter,212.2,212.2,22.5,3.0
Pecks Corner Shelter,219.5,219.5,23.3,7.3
Tri-corner Knob Shelter,224.9,224.9,23.8,5.5
Cosby Knob Shelter,232.7,232.7,24.6,7.8
Davenport Gap Shelter,239.8,239.8,25.4,7.1
SR 1397,240.8,240.8,25.5,1.0
I-40,242.5,242.5,25.7,1.7
I-40,242.5,242.5,25.7,0.0
Waterville School Road TH,242.6,242.6,25.7,0.1
Groundhog Creek Shelter,250.7,250.7,27.0,8.0
Brown Gap TH,253.3,253.3,27.3,2.7
State Road 1182 TH,256.1,256.1,27.5,2.8
SR 1182,256.1,256.1,27.5,0.0
NC 1182 (Max Patch) TH,256.2,256.2,27.5,0.1
Roaring Fork Shelter,258.7,258.7,27.8,2.5
Roaring Fork (old shelter location),261.7,261.7,28.1,3.0
Lemon Gap TH,262.2,262.2,28.2,0.6
Walnut Mountain Shelter,263.5,263.5,28.3,1.3
SR 1173,270.1,270.1,28.9,6.6
Garenflo Gap TH,270.1,270.1,28.9,0.0
Deer Park Shelter,273.5,273.5,29.3,3.4
Trail head parking in Hot Springs TH,276.5,276.5,29.6,3.0
Hot Springs  NC 28743,276.5,276.5,30.3,0.0
SR 209,276.6,276.6,30.4,0.1
US Hwy 70,282.8,282.8,30.9,6.1
Spring Mountain Shelter,287.9,287.9,31.4,5.1
SR 70,291.7,291.7,31.7,3.8
TN 70 (Allen Gap) TH,291.8,291.8,31.7,0.0
Little Laurel Shelter,296.6,296.6,32.2,4.8
Jerry's Cabin Shelter,303.3,303.3,32.8,6.7
Flint Mountain Shelter,309.1,309.1,33.3,5.8
Devil's Fork Gap TH,311.8,311.8,33.5,2.8
SR 212,311.9,311.8,33.5,0.0
Hog Back Ridge Shelter,318.6,318.6,34.1,6.7
SR 81,320.9,320.9,34.4,2.3
I-26,320.9,320.9,34.4,0.0
I-26,320.9,320.9,34.4,0.0
"I-26, US 23 (Sams Gap) TH",321.0,321.0,34.4,0.1
Street Gap TH,323.2,323.2,34.6,2.2
Bald Mountain Shelter,328.6,328.6,35.1,5.4
Spivey Gap TH,334.5,334.5,35.6,5.9
No Business Knob Shelter,339.4,339.4,36.0,4.9
Erwin  TN 37650,345.7,345.7,36.6,6.3
Curly Maple Gap Shelter,350.0,350.0,37.5,4.3
SR 197,354.2,354.2,37.9,4.2
TN 395 (Indian Grave Gap) TH,354.2,354.2,37.9,0.0
Cherry Gap Shelter,363.0,363.0,38.8,8.7
Iron Mountain Gap TH,366.0,366.0,39.1,3.0
SR 107,366.0,366.0,39.1,0.0
SR 1331,370.1,370.1,39.5,4.1
Clyde Smith Shelter,372.1,372.1,39.7,2.0
Cove Creek Road TH,375.2,375.2,40.0,3.1
Cloudlands TH,378.0,378.0,40.3,2.8
Roan High Knob Shelter,378.5,378.5,40.3,0.5
Carvers Gap TH,380.1,380.1,40.5,1.6
Carvers Gap Overflow TH,380.1,380.1,40.5,0.1
SR 261,380.1,380.1,40.5,0.0
Stan Murray Shelter,383.4,383.4,40.8,3.2
Overmountain Shelter,384.8,384.8,41.0,1.4
Apple House Shelter,393.3,393.3,41.8,8.5
US 19e TH,393.8,393.8,41.9,0.5
Roan Mountain  TN 37687/Elk Park  NC 28622/SR 37,393.8,393.8,41.9,0.0
Campbell Tract TH,397.4,397.4,42.7,3.6
Mountaineer Falls Shelter,402.4,402.4,43.0,5.0
Walnut Mountain Road TH,404.2,404.2,43.2,1.9
Bitter End Road TH,407.1,407.1,43.4,2.8
Moreland Gap Shelter,411.3,411.3,43.7,4.2
Dennis Cove Road TH,416.8,416.8,44.2,5.5
Laurel Fork Shelter,418.5,418.5,44.3,1.7
SR 67,425.2,425.1,44.8,6.7
Shook Branch Recreation Area TH,425.2,425.2,44.8,0.1
US 321 Cherokee National Forest TH,425.2,425.2,44.8,0.0
Hampton  TN 37658,425.4,425.4,44.9,0.1
Watauga Lake Shelter,426.8,426.8,45.4,1.4
Watauga Dam Road TH,429.3,429.3,45.6,2.5
Vandeventer Shelter,434.0,433.9,45.9,4.7
Iron Mountain Shelter,440.9,440.9,46.3,6.9
